Participant_ID,Sex,Gamer,Complete_Game_Files,Complete_Transcript,Joystick_First,ownComputer,VGES8,VGES10,VGES16,VGES16_1_TEXT
455,2,0,1,1,0,No,1,"Super Mario Bros., Wii Sports Resort, Brain Age, TriPeaks, Solitaire",2,
461,2,0,1,0,0,No,0,n/a,2,
468,1,1,1,1,1,Yes,20,Super Smash Bros Melee / Overwatch / Chrono Trigger / Pokemon Firered / Final Fantasy 7 / Battlefield 3,1,Super Smash Bros Melee
473,1,1,1,1,0,No,20,"Fallout 4, Smash Bros Wii U, Mario Kart 8, Destiny, Legend Of Zelda Skyward Sword",1,Mario Kart 8
478,1,99,1,1,0,No,5,FIFA 2016 / Rocket League / Mario Kart / Super Mario  / Super Smash Bros,1,Mario Kart
513,1,1,1,0,0,Yes,30,"World of Warcraft, Hearthstone, Heroes of the Storm, League of legends and Diablo 3",1,"Heroes of the Storm, Hearthstone, and League of Legends."
518,2,0,1,0,1,No,0,"I don't play video game, unless I am with my little brother, which often I don't know the names.",2,
537,1,99,1,1,0,No,0,"Minesweeper, Super Smash 64, Fallout 3 & 4, Words With Friends",1,Super Smash 64
558,1,1,1,1,1,No,25,"Madden 17, Assassin's Creed Black Flag, Overwatch, GTA 5, FIFA 16",2,
565,1,99,1,1,1,No,3,"Call Of Duty Black Ops 3, Madden 16 , NBA 2K16 , UFC2 and Call OF Duty MW2",1,"MW2, Black Ops2 and Black Ops 3"
568,1,1,1,0,1,Yes,10,"Dark Souls 3, Dark Souls 1, The Division, Elite Dangerous, Witcher 3",1,Dark Souls 3
569,1,0,1,1,0,No,0,"Halo 4, Sonic, Halo 3, Halo 2, Call of Duty?",2,
571,2,0,1,0,0,No,0,mario kart ,2,
586,1,99,1,1,1,Yes,5,League of Legends (LOL) / Dota/Dota 2 / Aion / ESO (Elder Scrolls Online) / Online Checkers,1,League of Legends. / Aion. / ESO. / Spark Chess (online chess). / 
604,2,0,1,1,0,No,0,"Solitaire, Mario Party 10",2,
618,2,0,1,1,0,No,1,"NHL, FIFA, NBA, Tetris, and Mario Cart",2,
623,2,0,1,1,0,No,0,,2,
646,1,99,1,0,1,Yes,5,"Overwatch, Hearthstone, LoL, WoW, Runescape",1,"Hearthstone, LoL"
647,1,1,1,1,0,Yes,20,"Black Ops, Modern Warfare 2, Destiny, GTA,FIFA 16",1,Black Ops and Modern Warfare 2
648,2,0,1,1,1,No,0,"angry birds, candy crush, gta4, mario kart, cut the rope",2,
656,2,0,1,1,0,No,0,Sims / 2k 16 / madden ,2,
658,1,1,1,1,1,Yes,10,"GTA V, FIFA 15 & 16, NBA 2K15, Super Smash Bros. ",2,
679,2,0,1,1,1,No,0,N/A,2,
681,1,1,1,1,0,Yes,25,"Rivals of Aether, Rocket League, Hover Junkers (VR), Audioshield (VR), Destiny",1,Super Smash Bros. Melee
685,1,1,1,1,1,Yes,25,Fifa 15 / Call of duty Black ops 2 / Call of duty Modern warfare 2 / Grand theft auto 5 / halo 4,1,Fifa 15 / 
689,2,1,1,1,1,Yes,10,"Pok_mon Go, Fallout, Star Wars Battlefront, Assassin's Creed ",1,Star Wars Battlefront
706,2,99,1,1,0,No,3,Elder Scrolls V: Skyrim / Grand Theft Auto V / The Sims 3 (PS3) / Tomb Raider / Call of Duty: Black Ops II,2,
721,2,0,1,1,0,No,0,NA,2,
731,2,0,1,1,1,No,0,"wii sports, sims, wii fit",2,
739,1,0,1,1,1,No,0,halo,2,
753,2,0,1,0,0,Yes,0,"super mario carts, a makeup games, just dance.",2,
788,1,1,1,1,0,No,43,"Metal gear solid 5: Ground zero, Metal gear solid 5: the phantom pain, halo combat evolved, halo 2, and Need for speed hot pursuit ",2,
790,2,1,1,1,0,Yes,45,Dark Souls 3 / Fallout 4 / Insaniquarium / Uncharted 4 / Bloodborne,2,
804,1,1,1,1,0,No,99,Mortal Kombat X / Shadows Of Mordor / Infamous Second Son / Kingdom Hearts / Doom,1,Mortal Kombat X / Doom
