FileName,CWrotations,CCWrotations,Thrusts,WorldWraps,FortressCollisions,fortressDestructions,shipDeaths,Total,Points,Velocity,Control,Speed,Bpnt,Bmis,WorldWrapper,delWorldWrapper,discrete_thrusts,discrete_CWrotations,discrete_CCWrotations,Constant_Accelerations,cumulativeDistanceX,varianceX
721/p721-key-5.gam,476,266,330,23,1,0,5,-1456,-1508,168,-46,-70,0,1,1,1,69,94,36,0,429084.486149938,16305.2161305675
721/p721-key-6.gam,528,262,235,38,1,1,3,-1371,-520,-308,-603,60,0,0,3,0,56,98,45,0,363626.735723205,14461.0226267047
721/p721-key-7.gam,394,514,252,36,3,0,4,-2397,-1388,-224,-555,-230,0,0,2,1,49,56,61,0,454548.544346727,17775.6126351498
721/p721-key-8.gam,571,382,620,41,4,0,6,-3067,-2070,-238,-739,-20,0,0,1,0,80,71,54,0,461028.775118008,17470.0108989805
721/p721-key-9.gam,722,456,1208,39,7,0,4,-2938,-1568,-714,-676,20,0,0,0,0,112,67,47,0,401979.644387949,13306.4639873532
731/p731-joy-1.gam,2572,328,2081,46,6,0,7,-3082,-1814,-308,-880,-80,0,0,1,0,20,31,13,8,351481.511281991,14861.282444376
731/p731-joy-10.gam,1270,553,128,62,7,0,5,-4401,-1426,-1050,-1425,-500,0,0,19,5,8,27,22,0,455695.503534302,16807.5916293522
731/p731-joy-2.gam,2640,157,2124,63,11,0,5,-3543,-1349,-770,-1504,80,0,0,7,2,23,27,10,1,418835.575519565,16805.2072017695
731/p731-joy-3.gam,2256,20,1653,70,6,0,4,-4397,-1401,-966,-1720,-310,0,0,11,1,19,40,3,3,474010.470713482,17020.5038148647
731/p731-joy-4.gam,1868,838,1934,60,3,0,3,-3859,-1470,-826,-1403,-160,0,0,6,2,16,26,13,1,495822.696448879,18638.7251042365
731/p731-joy-5.gam,1930,1261,497,62,6,0,5,-4152,-1480,-966,-1416,-290,0,0,16,3,8,28,6,3,429444.234478207,15910.004030968
731/p731-joy-6.gam,2799,203,435,63,9,0,5,-4248,-1622,-938,-1458,-230,0,0,21,4,8,19,6,1,399770.493674982,16305.8502808565
731/p731-joy-7.gam,1916,1059,1171,56,5,0,4,-3347,-1288,-882,-1197,20,0,0,11,5,14,14,12,9,407297.978972366,15255.0886156535
731/p731-joy-8.gam,2930,36,134,61,9,0,6,-4052,-1872,-714,-1376,-90,0,0,22,6,8,23,2,0,435870.207992607,15578.1219743205
731/p731-joy-9.gam,2373,253,413,64,6,0,5,-4123,-1695,-1050,-1458,80,0,0,17,6,7,27,9,1,467451.052198232,15337.9174433055
731/p731-key-1.gam,515,198,209,64,6,0,4,-3781,-1313,-742,-1506,-220,0,0,17,2,15,49,17,1,460185.965030595,17006.6592654002
731/p731-key-10.gam,87,184,44,57,3,1,2,-3694,-1358,-1176,-1290,130,0,0,22,4,6,17,24,0,134099.608170222,6784.02350812466
731/p731-key-2.gam,232,401,96,50,1,0,4,-3886,-1647,-1092,-1027,-120,0,0,19,4,10,19,36,0,183094.768313681,9009.09390438834
731/p731-key-3.gam,97,445,104,51,2,1,3,-3177,-1300,-924,-1083,130,0,0,20,3,12,17,28,0,202756.963685112,11083.4730923908
731/p731-key-4.gam,127,876,117,68,5,1,5,-3936,-1201,-1022,-1633,-80,0,0,21,2,16,10,81,0,321254.189844428,13817.2764108692
731/p731-key-5.gam,209,788,76,80,6,0,4,-4876,-1326,-1148,-2062,-340,0,0,26,4,7,31,76,0,469334.640026489,17085.5603129735
731/p731-key-6.gam,154,294,78,55,5,2,3,-3374,-1222,-1092,-1170,110,0,0,22,4,7,24,36,0,295214.865154278,12378.9466934041
731/p731-key-7.gam,172,253,77,53,2,2,4,-3904,-1741,-1078,-1125,40,0,0,22,4,10,19,20,0,172252.246244593,8628.38979190877
